log_output,issue_category
deployed successfully [process ID: 115],Success
make: *** [all] Error 2 [process ID: 984],Build failure
all tests passed [process ID: 593],Success
build successful [process ID: 402],Success
npm ERR! missing dependency [process ID: 124],Dependency issue
build successful [process ID: 909],Success
CORS policy violation [process ID: 298],Security issue
CORS policy violation [process ID: 599],Security issue
gitleaks: secret detected [process ID: 649],Security issue
AssertionError: expected 5 to equal 4 [process ID: 969],Test failure
Test suite failed [process ID: 786],Test failure
build successful [process ID: 971],Success
gitleaks: secret detected [process ID: 780],Security issue
deployed successfully [process ID: 447],Success
fatal error: file not found [process ID: 733],Build failure
timeout waiting for service [process ID: 616],Deployment error
version conflict for package [process ID: 525],Dependency issue
pip install failed [process ID: 942],Dependency issue
make: *** [all] Error 2 [process ID: 582],Build failure
timeout waiting for service [process ID: 542],Deployment error
env variable missing [process ID: 755],Configuration error
ModuleNotFoundError [process ID: 286],Dependency issue
all tests passed [process ID: 540],Success
invalid configuration file [process ID: 759],Configuration error
dockerfile build error [process ID: 104],Configuration error
YAML syntax error [process ID: 184],Configuration error
Expected true but got false [process ID: 971],Test failure
failed to pull docker image [process ID: 392],Deployment error
AWS credential invalid [process ID: 374],Deployment error
Expected true but got false [process ID: 445],Test failure
version conflict for package [process ID: 318],Dependency issue
fatal error: file not found [process ID: 698],Build failure
Test suite failed [process ID: 562],Test failure
version conflict for package [process ID: 262],Dependency issue
0 vulnerabilities [process ID: 426],Success
version conflict for package [process ID: 120],Dependency issue
npm ERR! missing dependency [process ID: 363],Dependency issue
fatal error: file not found [process ID: 383],Build failure
syntax error in file [process ID: 374],Build failure
fatal error: file not found [process ID: 403],Build failure
vulnerability found in package [process ID: 705],Security issue
build successful [process ID: 840],Success
cannot compile module [process ID: 569],Build failure
build successful [process ID: 466],Success
syntax error in file [process ID: 871],Build failure
build successful [process ID: 746],Success
failed to pull docker image [process ID: 577],Deployment error
Test suite failed [process ID: 329],Test failure
make: *** [all] Error 2 [process ID: 782],Build failure
CORS policy violation [process ID: 108],Security issue
dockerfile build error [process ID: 687],Configuration error
vulnerability found in package [process ID: 629],Security issue
failed to pull docker image [process ID: 467],Deployment error
pip install failed [process ID: 391],Dependency issue
all tests passed [process ID: 175],Success
dockerfile build error [process ID: 723],Configuration error
env variable missing [process ID: 996],Configuration error
vulnerability found in package [process ID: 931],Security issue
ModuleNotFoundError [process ID: 758],Dependency issue
vulnerability found in package [process ID: 909],Security issue
vulnerability found in package [process ID: 176],Security issue
Kubernetes pod crashloopbackoff [process ID: 570],Deployment error
dockerfile build error [process ID: 817],Configuration error
Test suite failed [process ID: 261],Test failure
Expected true but got false [process ID: 591],Test failure
0 vulnerabilities [process ID: 177],Success
version conflict for package [process ID: 742],Dependency issue
fatal error: file not found [process ID: 548],Build failure
build successful [process ID: 796],Success
ModuleNotFoundError [process ID: 725],Dependency issue
timeout waiting for service [process ID: 154],Deployment error
Kubernetes pod crashloopbackoff [process ID: 355],Deployment error
ModuleNotFoundError [process ID: 868],Dependency issue
syntax error in file [process ID: 188],Build failure
Expected true but got false [process ID: 353],Test failure
AWS credential invalid [process ID: 904],Deployment error
pip install failed [process ID: 926],Dependency issue
ModuleNotFoundError [process ID: 963],Dependency issue
npm ERR! missing dependency [process ID: 674],Dependency issue
gitleaks: secret detected [process ID: 356],Security issue
Expected true but got false [process ID: 381],Test failure
CORS policy violation [process ID: 393],Security issue
all tests passed [process ID: 961],Success
dockerfile build error [process ID: 356],Configuration error
Test suite failed [process ID: 526],Test failure
fatal error: file not found [process ID: 203],Build failure
syntax error in file [process ID: 594],Build failure
cannot compile module [process ID: 998],Build failure
Kubernetes pod crashloopbackoff [process ID: 563],Deployment error
npm ERR! missing dependency [process ID: 767],Dependency issue
cannot compile module [process ID: 110],Build failure
env variable missing [process ID: 824],Configuration error
AWS credential invalid [process ID: 452],Deployment error
all tests passed [process ID: 172],Success
fatal error: file not found [process ID: 654],Build failure
0 vulnerabilities [process ID: 149],Success
Test suite failed [process ID: 150],Test failure
npm ERR! missing dependency [process ID: 413],Dependency issue
cannot compile module [process ID: 976],Build failure
0 vulnerabilities [process ID: 934],Success
timeout waiting for service [process ID: 754],Deployment error
YAML syntax error [process ID: 645],Configuration error
AWS credential invalid [process ID: 295],Deployment error
dockerfile build error [process ID: 117],Configuration error
pip install failed [process ID: 918],Dependency issue
dockerfile build error [process ID: 223],Configuration error
timeout waiting for service [process ID: 389],Deployment error
YAML syntax error [process ID: 748],Configuration error
fatal error: file not found [process ID: 704],Build failure
version conflict for package [process ID: 693],Dependency issue
npm ERR! missing dependency [process ID: 534],Dependency issue
Test suite failed [process ID: 609],Test failure
Test suite failed [process ID: 497],Test failure
CORS policy violation [process ID: 559],Security issue
CORS policy violation [process ID: 499],Security issue
AssertionError: expected 5 to equal 4 [process ID: 884],Test failure
timeout waiting for service [process ID: 981],Deployment error
build successful [process ID: 842],Success
Expected true but got false [process ID: 290],Test failure
build successful [process ID: 477],Success
gitleaks: secret detected [process ID: 963],Security issue
YAML syntax error [process ID: 733],Configuration error
unauthorized access token [process ID: 121],Security issue
0 vulnerabilities [process ID: 733],Success
Jest failed with 1 failing test [process ID: 287],Test failure
make: *** [all] Error 2 [process ID: 337],Build failure
cannot compile module [process ID: 599],Build failure
failed to pull docker image [process ID: 826],Deployment error
env variable missing [process ID: 288],Configuration error
YAML syntax error [process ID: 242],Configuration error
Kubernetes pod crashloopbackoff [process ID: 930],Deployment error
syntax error in file [process ID: 867],Build failure
invalid configuration file [process ID: 644],Configuration error
cannot compile module [process ID: 504],Build failure
build successful [process ID: 142],Success
cannot compile module [process ID: 154],Build failure
Jest failed with 1 failing test [process ID: 881],Test failure
invalid configuration file [process ID: 609],Configuration error
pip install failed [process ID: 919],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 658],Test failure
Kubernetes pod crashloopbackoff [process ID: 313],Deployment error
0 vulnerabilities [process ID: 816],Success
CORS policy violation [process ID: 643],Security issue
Kubernetes pod crashloopbackoff [process ID: 293],Deployment error
0 vulnerabilities [process ID: 591],Success
syntax error in file [process ID: 856],Build failure
0 vulnerabilities [process ID: 167],Success
npm ERR! missing dependency [process ID: 538],Dependency issue
unauthorized access token [process ID: 646],Security issue
all tests passed [process ID: 780],Success
CORS policy violation [process ID: 487],Security issue
dockerfile build error [process ID: 174],Configuration error
unauthorized access token [process ID: 697],Security issue
env variable missing [process ID: 129],Configuration error
env variable missing [process ID: 702],Configuration error
fatal error: file not found [process ID: 513],Build failure
CORS policy violation [process ID: 524],Security issue
AssertionError: expected 5 to equal 4 [process ID: 374],Test failure
YAML syntax error [process ID: 712],Configuration error
Expected true but got false [process ID: 215],Test failure
AssertionError: expected 5 to equal 4 [process ID: 110],Test failure
syntax error in file [process ID: 472],Build failure
Test suite failed [process ID: 458],Test failure
AWS credential invalid [process ID: 868],Deployment error
cannot compile module [process ID: 901],Build failure
unauthorized access token [process ID: 138],Security issue
invalid configuration file [process ID: 535],Configuration error
ModuleNotFoundError [process ID: 500],Dependency issue
gitleaks: secret detected [process ID: 138],Security issue
Jest failed with 1 failing test [process ID: 446],Test failure
Test suite failed [process ID: 987],Test failure
failed to pull docker image [process ID: 939],Deployment error
fatal error: file not found [process ID: 350],Build failure
gitleaks: secret detected [process ID: 557],Security issue
unauthorized access token [process ID: 414],Security issue
all tests passed [process ID: 892],Success
vulnerability found in package [process ID: 381],Security issue
unauthorized access token [process ID: 713],Security issue
Kubernetes pod crashloopbackoff [process ID: 239],Deployment error
cannot compile module [process ID: 445],Build failure
deployed successfully [process ID: 281],Success
env variable missing [process ID: 292],Configuration error
dockerfile build error [process ID: 500],Configuration error
YAML syntax error [process ID: 674],Configuration error
dockerfile build error [process ID: 939],Configuration error
Expected true but got false [process ID: 331],Test failure
npm ERR! missing dependency [process ID: 506],Dependency issue
vulnerability found in package [process ID: 370],Security issue
all tests passed [process ID: 171],Success
syntax error in file [process ID: 703],Build failure
unauthorized access token [process ID: 107],Security issue
failed to pull docker image [process ID: 169],Deployment error
pip install failed [process ID: 639],Dependency issue
Jest failed with 1 failing test [process ID: 606],Test failure
gitleaks: secret detected [process ID: 698],Security issue
fatal error: file not found [process ID: 185],Build failure
Kubernetes pod crashloopbackoff [process ID: 971],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 545],Test failure
AWS credential invalid [process ID: 843],Deployment error
env variable missing [process ID: 766],Configuration error
deployed successfully [process ID: 215],Success
fatal error: file not found [process ID: 110],Build failure
timeout waiting for service [process ID: 727],Deployment error
gitleaks: secret detected [process ID: 183],Security issue
AssertionError: expected 5 to equal 4 [process ID: 143],Test failure
vulnerability found in package [process ID: 165],Security issue
Kubernetes pod crashloopbackoff [process ID: 969],Deployment error
pip install failed [process ID: 590],Dependency issue
AWS credential invalid [process ID: 980],Deployment error
timeout waiting for service [process ID: 277],Deployment error
invalid configuration file [process ID: 736],Configuration error
timeout waiting for service [process ID: 187],Deployment error
Jest failed with 1 failing test [process ID: 733],Test failure
unauthorized access token [process ID: 987],Security issue
env variable missing [process ID: 270],Configuration error
YAML syntax error [process ID: 628],Configuration error
fatal error: file not found [process ID: 545],Build failure
deployed successfully [process ID: 587],Success
Test suite failed [process ID: 193],Test failure
all tests passed [process ID: 721],Success
failed to pull docker image [process ID: 665],Deployment error
pip install failed [process ID: 527],Dependency issue
build successful [process ID: 431],Success
vulnerability found in package [process ID: 562],Security issue
dockerfile build error [process ID: 298],Configuration error
deployed successfully [process ID: 110],Success
ModuleNotFoundError [process ID: 110],Dependency issue
Test suite failed [process ID: 185],Test failure
make: *** [all] Error 2 [process ID: 100],Build failure
0 vulnerabilities [process ID: 174],Success
invalid configuration file [process ID: 655],Configuration error
fatal error: file not found [process ID: 809],Build failure
unauthorized access token [process ID: 800],Security issue
make: *** [all] Error 2 [process ID: 371],Build failure
unauthorized access token [process ID: 723],Security issue
ModuleNotFoundError [process ID: 347],Dependency issue
Expected true but got false [process ID: 995],Test failure
env variable missing [process ID: 776],Configuration error
deployed successfully [process ID: 997],Success
failed to pull docker image [process ID: 117],Deployment error
all tests passed [process ID: 897],Success
CORS policy violation [process ID: 189],Security issue
syntax error in file [process ID: 101],Build failure
timeout waiting for service [process ID: 998],Deployment error
vulnerability found in package [process ID: 399],Security issue
CORS policy violation [process ID: 390],Security issue
ModuleNotFoundError [process ID: 991],Dependency issue
make: *** [all] Error 2 [process ID: 141],Build failure
unauthorized access token [process ID: 738],Security issue
CORS policy violation [process ID: 835],Security issue
dockerfile build error [process ID: 828],Configuration error
syntax error in file [process ID: 813],Build failure
0 vulnerabilities [process ID: 516],Success
Expected true but got false [process ID: 715],Test failure
Kubernetes pod crashloopbackoff [process ID: 764],Deployment error
invalid configuration file [process ID: 273],Configuration error
0 vulnerabilities [process ID: 702],Success
AssertionError: expected 5 to equal 4 [process ID: 813],Test failure
Expected true but got false [process ID: 293],Test failure
pip install failed [process ID: 991],Dependency issue
gitleaks: secret detected [process ID: 363],Security issue
npm ERR! missing dependency [process ID: 961],Dependency issue
all tests passed [process ID: 979],Success
cannot compile module [process ID: 115],Build failure
dockerfile build error [process ID: 975],Configuration error
version conflict for package [process ID: 282],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 688],Test failure
Kubernetes pod crashloopbackoff [process ID: 809],Deployment error
make: *** [all] Error 2 [process ID: 193],Build failure
build successful [process ID: 462],Success
AWS credential invalid [process ID: 292],Deployment error
unauthorized access token [process ID: 956],Security issue
syntax error in file [process ID: 688],Build failure
failed to pull docker image [process ID: 336],Deployment error
invalid configuration file [process ID: 466],Configuration error
gitleaks: secret detected [process ID: 693],Security issue
vulnerability found in package [process ID: 514],Security issue
pip install failed [process ID: 401],Dependency issue
version conflict for package [process ID: 924],Dependency issue
timeout waiting for service [process ID: 174],Deployment error
all tests passed [process ID: 542],Success
syntax error in file [process ID: 125],Build failure
unauthorized access token [process ID: 104],Security issue
Expected true but got false [process ID: 253],Test failure
cannot compile module [process ID: 118],Build failure
invalid configuration file [process ID: 392],Configuration error
pip install failed [process ID: 131],Dependency issue
all tests passed [process ID: 594],Success
env variable missing [process ID: 763],Configuration error
vulnerability found in package [process ID: 135],Security issue
Kubernetes pod crashloopbackoff [process ID: 274],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 329],Test failure
Test suite failed [process ID: 319],Test failure
make: *** [all] Error 2 [process ID: 942],Build failure
make: *** [all] Error 2 [process ID: 211],Build failure
fatal error: file not found [process ID: 984],Build failure
vulnerability found in package [process ID: 849],Security issue
build successful [process ID: 911],Success
Test suite failed [process ID: 125],Test failure
invalid configuration file [process ID: 748],Configuration error
build successful [process ID: 424],Success
all tests passed [process ID: 793],Success
Test suite failed [process ID: 256],Test failure
Jest failed with 1 failing test [process ID: 459],Test failure
env variable missing [process ID: 262],Configuration error
Expected true but got false [process ID: 601],Test failure
make: *** [all] Error 2 [process ID: 969],Build failure
AWS credential invalid [process ID: 735],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 468],Test failure
version conflict for package [process ID: 339],Dependency issue
pip install failed [process ID: 734],Dependency issue
Test suite failed [process ID: 192],Test failure
version conflict for package [process ID: 129],Dependency issue
npm ERR! missing dependency [process ID: 564],Dependency issue
Jest failed with 1 failing test [process ID: 911],Test failure
deployed successfully [process ID: 296],Success
build successful [process ID: 409],Success
timeout waiting for service [process ID: 150],Deployment error
timeout waiting for service [process ID: 637],Deployment error
dockerfile build error [process ID: 513],Configuration error
Kubernetes pod crashloopbackoff [process ID: 557],Deployment error
invalid configuration file [process ID: 437],Configuration error
syntax error in file [process ID: 343],Build failure
failed to pull docker image [process ID: 790],Deployment error
fatal error: file not found [process ID: 549],Build failure
dockerfile build error [process ID: 998],Configuration error
all tests passed [process ID: 738],Success
Test suite failed [process ID: 276],Test failure
build successful [process ID: 679],Success
invalid configuration file [process ID: 724],Configuration error
fatal error: file not found [process ID: 995],Build failure
syntax error in file [process ID: 550],Build failure
make: *** [all] Error 2 [process ID: 900],Build failure
Jest failed with 1 failing test [process ID: 316],Test failure
env variable missing [process ID: 378],Configuration error
ModuleNotFoundError [process ID: 697],Dependency issue
pip install failed [process ID: 919],Dependency issue
timeout waiting for service [process ID: 467],Deployment error
failed to pull docker image [process ID: 584],Deployment error
Test suite failed [process ID: 733],Test failure
cannot compile module [process ID: 650],Build failure
build successful [process ID: 923],Success
YAML syntax error [process ID: 251],Configuration error
build successful [process ID: 134],Success
gitleaks: secret detected [process ID: 880],Security issue
version conflict for package [process ID: 847],Dependency issue
vulnerability found in package [process ID: 751],Security issue
AWS credential invalid [process ID: 360],Deployment error
fatal error: file not found [process ID: 162],Build failure
version conflict for package [process ID: 685],Dependency issue
failed to pull docker image [process ID: 499],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 904],Test failure
ModuleNotFoundError [process ID: 106],Dependency issue
timeout waiting for service [process ID: 178],Deployment error
make: *** [all] Error 2 [process ID: 578],Build failure
CORS policy violation [process ID: 522],Security issue
dockerfile build error [process ID: 689],Configuration error
0 vulnerabilities [process ID: 465],Success
0 vulnerabilities [process ID: 535],Success
env variable missing [process ID: 809],Configuration error
Kubernetes pod crashloopbackoff [process ID: 707],Deployment error
timeout waiting for service [process ID: 958],Deployment error
AWS credential invalid [process ID: 872],Deployment error
Jest failed with 1 failing test [process ID: 254],Test failure
invalid configuration file [process ID: 613],Configuration error
npm ERR! missing dependency [process ID: 556],Dependency issue
pip install failed [process ID: 425],Dependency issue
env variable missing [process ID: 595],Configuration error
timeout waiting for service [process ID: 290],Deployment error
deployed successfully [process ID: 265],Success
deployed successfully [process ID: 795],Success
CORS policy violation [process ID: 451],Security issue
pip install failed [process ID: 605],Dependency issue
Test suite failed [process ID: 221],Test failure
ModuleNotFoundError [process ID: 906],Dependency issue
Test suite failed [process ID: 898],Test failure
AssertionError: expected 5 to equal 4 [process ID: 391],Test failure
CORS policy violation [process ID: 335],Security issue
timeout waiting for service [process ID: 658],Deployment error
Jest failed with 1 failing test [process ID: 355],Test failure
0 vulnerabilities [process ID: 981],Success
vulnerability found in package [process ID: 445],Security issue
vulnerability found in package [process ID: 515],Security issue
0 vulnerabilities [process ID: 624],Success
version conflict for package [process ID: 378],Dependency issue
make: *** [all] Error 2 [process ID: 398],Build failure
timeout waiting for service [process ID: 156],Deployment error
ModuleNotFoundError [process ID: 564],Dependency issue
YAML syntax error [process ID: 972],Configuration error
cannot compile module [process ID: 333],Build failure
all tests passed [process ID: 820],Success
0 vulnerabilities [process ID: 921],Success
npm ERR! missing dependency [process ID: 950],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 834],Deployment error
Test suite failed [process ID: 508],Test failure
vulnerability found in package [process ID: 695],Security issue
npm ERR! missing dependency [process ID: 117],Dependency issue
unauthorized access token [process ID: 680],Security issue
Kubernetes pod crashloopbackoff [process ID: 261],Deployment error
gitleaks: secret detected [process ID: 649],Security issue
make: *** [all] Error 2 [process ID: 953],Build failure
invalid configuration file [process ID: 594],Configuration error
dockerfile build error [process ID: 151],Configuration error
AWS credential invalid [process ID: 286],Deployment error
Jest failed with 1 failing test [process ID: 626],Test failure
env variable missing [process ID: 581],Configuration error
syntax error in file [process ID: 639],Build failure
Expected true but got false [process ID: 312],Test failure
fatal error: file not found [process ID: 471],Build failure
Expected true but got false [process ID: 380],Test failure
failed to pull docker image [process ID: 781],Deployment error
syntax error in file [process ID: 971],Build failure
dockerfile build error [process ID: 729],Configuration error
make: *** [all] Error 2 [process ID: 674],Build failure
deployed successfully [process ID: 731],Success
vulnerability found in package [process ID: 378],Security issue
cannot compile module [process ID: 515],Build failure
npm ERR! missing dependency [process ID: 317],Dependency issue
all tests passed [process ID: 584],Success
Kubernetes pod crashloopbackoff [process ID: 719],Deployment error
cannot compile module [process ID: 564],Build failure
timeout waiting for service [process ID: 129],Deployment error
invalid configuration file [process ID: 108],Configuration error
dockerfile build error [process ID: 196],Configuration error
0 vulnerabilities [process ID: 529],Success
AssertionError: expected 5 to equal 4 [process ID: 473],Test failure
deployed successfully [process ID: 305],Success
dockerfile build error [process ID: 115],Configuration error
gitleaks: secret detected [process ID: 672],Security issue
env variable missing [process ID: 695],Configuration error
pip install failed [process ID: 651],Dependency issue
unauthorized access token [process ID: 532],Security issue
fatal error: file not found [process ID: 947],Build failure
gitleaks: secret detected [process ID: 286],Security issue
Jest failed with 1 failing test [process ID: 507],Test failure
vulnerability found in package [process ID: 911],Security issue
build successful [process ID: 966],Success
failed to pull docker image [process ID: 181],Deployment error
Test suite failed [process ID: 848],Test failure
Test suite failed [process ID: 732],Test failure
build successful [process ID: 744],Success
dockerfile build error [process ID: 642],Configuration error
Jest failed with 1 failing test [process ID: 584],Test failure
AWS credential invalid [process ID: 209],Deployment error
version conflict for package [process ID: 806],Dependency issue
make: *** [all] Error 2 [process ID: 212],Build failure
0 vulnerabilities [process ID: 553],Success
vulnerability found in package [process ID: 469],Security issue
AWS credential invalid [process ID: 786],Deployment error
syntax error in file [process ID: 504],Build failure
CORS policy violation [process ID: 725],Security issue
failed to pull docker image [process ID: 818],Deployment error
dockerfile build error [process ID: 635],Configuration error
timeout waiting for service [process ID: 829],Deployment error
CORS policy violation [process ID: 919],Security issue
CORS policy violation [process ID: 713],Security issue
AssertionError: expected 5 to equal 4 [process ID: 436],Test failure
deployed successfully [process ID: 342],Success
Kubernetes pod crashloopbackoff [process ID: 484],Deployment error
npm ERR! missing dependency [process ID: 933],Dependency issue
npm ERR! missing dependency [process ID: 681],Dependency issue
dockerfile build error [process ID: 556],Configuration error
fatal error: file not found [process ID: 549],Build failure
dockerfile build error [process ID: 844],Configuration error
unauthorized access token [process ID: 286],Security issue
deployed successfully [process ID: 924],Success
version conflict for package [process ID: 144],Dependency issue
Expected true but got false [process ID: 676],Test failure
failed to pull docker image [process ID: 249],Deployment error
syntax error in file [process ID: 771],Build failure
gitleaks: secret detected [process ID: 188],Security issue
Kubernetes pod crashloopbackoff [process ID: 750],Deployment error
Test suite failed [process ID: 285],Test failure
vulnerability found in package [process ID: 109],Security issue
Jest failed with 1 failing test [process ID: 679],Test failure
ModuleNotFoundError [process ID: 843],Dependency issue
AWS credential invalid [process ID: 852],Deployment error
all tests passed [process ID: 631],Success
YAML syntax error [process ID: 733],Configuration error
dockerfile build error [process ID: 777],Configuration error
dockerfile build error [process ID: 407],Configuration error
make: *** [all] Error 2 [process ID: 375],Build failure
Test suite failed [process ID: 920],Test failure
Kubernetes pod crashloopbackoff [process ID: 974],Deployment error
YAML syntax error [process ID: 341],Configuration error
YAML syntax error [process ID: 523],Configuration error
0 vulnerabilities [process ID: 683],Success
fatal error: file not found [process ID: 565],Build failure
npm ERR! missing dependency [process ID: 767],Dependency issue
vulnerability found in package [process ID: 495],Security issue
env variable missing [process ID: 615],Configuration error
gitleaks: secret detected [process ID: 199],Security issue
npm ERR! missing dependency [process ID: 620],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 334],Test failure
ModuleNotFoundError [process ID: 300],Dependency issue
failed to pull docker image [process ID: 159],Deployment error
fatal error: file not found [process ID: 537],Build failure
Expected true but got false [process ID: 551],Test failure
cannot compile module [process ID: 938],Build failure
deployed successfully [process ID: 265],Success
AssertionError: expected 5 to equal 4 [process ID: 895],Test failure
Test suite failed [process ID: 389],Test failure
unauthorized access token [process ID: 823],Security issue
AssertionError: expected 5 to equal 4 [process ID: 845],Test failure
Jest failed with 1 failing test [process ID: 926],Test failure
AssertionError: expected 5 to equal 4 [process ID: 968],Test failure
env variable missing [process ID: 685],Configuration error
build successful [process ID: 665],Success
deployed successfully [process ID: 813],Success
AWS credential invalid [process ID: 967],Deployment error
build successful [process ID: 692],Success
unauthorized access token [process ID: 681],Security issue
make: *** [all] Error 2 [process ID: 792],Build failure
ModuleNotFoundError [process ID: 860],Dependency issue
timeout waiting for service [process ID: 568],Deployment error
version conflict for package [process ID: 156],Dependency issue
version conflict for package [process ID: 276],Dependency issue
syntax error in file [process ID: 294],Build failure
Jest failed with 1 failing test [process ID: 547],Test failure
Test suite failed [process ID: 201],Test failure
npm ERR! missing dependency [process ID: 277],Dependency issue
syntax error in file [process ID: 795],Build failure
CORS policy violation [process ID: 767],Security issue
Jest failed with 1 failing test [process ID: 621],Test failure
version conflict for package [process ID: 259],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 704],Test failure
YAML syntax error [process ID: 105],Configuration error
invalid configuration file [process ID: 239],Configuration error
Kubernetes pod crashloopbackoff [process ID: 879],Deployment error
invalid configuration file [process ID: 436],Configuration error
gitleaks: secret detected [process ID: 259],Security issue
make: *** [all] Error 2 [process ID: 504],Build failure
timeout waiting for service [process ID: 569],Deployment error
npm ERR! missing dependency [process ID: 337],Dependency issue
timeout waiting for service [process ID: 342],Deployment error
gitleaks: secret detected [process ID: 935],Security issue
Jest failed with 1 failing test [process ID: 761],Test failure
cannot compile module [process ID: 240],Build failure
timeout waiting for service [process ID: 953],Deployment error
timeout waiting for service [process ID: 356],Deployment error
failed to pull docker image [process ID: 437],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 968],Test failure
AWS credential invalid [process ID: 374],Deployment error
ModuleNotFoundError [process ID: 247],Dependency issue
make: *** [all] Error 2 [process ID: 258],Build failure
CORS policy violation [process ID: 644],Security issue
env variable missing [process ID: 739],Configuration error
make: *** [all] Error 2 [process ID: 991],Build failure
unauthorized access token [process ID: 326],Security issue
pip install failed [process ID: 776],Dependency issue
YAML syntax error [process ID: 328],Configuration error
Jest failed with 1 failing test [process ID: 786],Test failure
version conflict for package [process ID: 943],Dependency issue
make: *** [all] Error 2 [process ID: 975],Build failure
Test suite failed [process ID: 818],Test failure
AWS credential invalid [process ID: 398],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 808],Test failure
npm ERR! missing dependency [process ID: 885],Dependency issue
make: *** [all] Error 2 [process ID: 279],Build failure
CORS policy violation [process ID: 837],Security issue
vulnerability found in package [process ID: 857],Security issue
AssertionError: expected 5 to equal 4 [process ID: 517],Test failure
syntax error in file [process ID: 646],Build failure
Kubernetes pod crashloopbackoff [process ID: 490],Deployment error
invalid configuration file [process ID: 987],Configuration error
Jest failed with 1 failing test [process ID: 170],Test failure
invalid configuration file [process ID: 799],Configuration error
CORS policy violation [process ID: 913],Security issue
Kubernetes pod crashloopbackoff [process ID: 933],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 250],Test failure
build successful [process ID: 626],Success
deployed successfully [process ID: 813],Success
CORS policy violation [process ID: 897],Security issue
AssertionError: expected 5 to equal 4 [process ID: 661],Test failure
AWS credential invalid [process ID: 927],Deployment error
gitleaks: secret detected [process ID: 621],Security issue
Expected true but got false [process ID: 981],Test failure
timeout waiting for service [process ID: 810],Deployment error
unauthorized access token [process ID: 554],Security issue
unauthorized access token [process ID: 390],Security issue
AWS credential invalid [process ID: 878],Deployment error
vulnerability found in package [process ID: 813],Security issue
env variable missing [process ID: 697],Configuration error
version conflict for package [process ID: 253],Dependency issue
failed to pull docker image [process ID: 721],Deployment error
syntax error in file [process ID: 247],Build failure
syntax error in file [process ID: 326],Build failure
timeout waiting for service [process ID: 616],Deployment error
Test suite failed [process ID: 455],Test failure
gitleaks: secret detected [process ID: 783],Security issue
make: *** [all] Error 2 [process ID: 742],Build failure
YAML syntax error [process ID: 164],Configuration error
unauthorized access token [process ID: 304],Security issue
vulnerability found in package [process ID: 101],Security issue
Expected true but got false [process ID: 896],Test failure
